aiModelInfo,algorithmDescription,apiInfo,apiValue,applicationScenario,applyAt,approvalLabel,areaCode,auditRemark,auditStatus,billingSpecification,briefIntroduction,companyName,contactPhone,createdAt,currentOpUserId,dimiDataInfo,domain,gaomiInfo,id,industryCategory,isPreOrder,mainImage,modelUsageMethod,operatorAt,operatorId,operatorName,orderCount,price,productAdvantages,productAttachment,productAttachments,productCategory,productDescription,productName,productPrice,productServiceIntro,productType,productValidity,productZone,provinceCode,registrationId,registrationStatus,relateUserAssetId,relateUserAssetOuterId,serviceProvider,serviceRatio,serviceType,shelfTime,status,updatedAt,uploadAuthFile,userId,username,waitApprover
,,,,,2024-12-17 21:47:48,,620100,,APPROVED,1,图南普智一体算力调度平台定位于算力运营的基础设施和算力流量的关口，以天翼云作为能力底座，构建智网+灵云+安全运营模式，形成七类核心产品线，平台提供云、网、数、智、安等多要素为一体的融合性服务能力，通过开展算力感知、算力调度、算力交易、算力编排、算力监管等核心能力建设，实现高效云间互联和不同厂家、不同地区不同技术架构的算力汇聚，整合优质模型、数据集等知识库与底层异构GPU算力深度融合，贯穿智算服务的全生命周期，为用户提供一键入云、跨域部署等服务体验，围绕供需双方需求，推进以算力为基础的云、大数据、AI运营工作落地，切实打造普惠、泛在的普智一体算力调度平台，实现算力同水、电、燃气一样成为社会级服务。,中电万维信息技术有限责任公司,,2024-11-14 17:15:11,,,,,PD24111417151120208,TELECOM,False,http://img.gsdep.cn/default-bucket/2024/11/14/2ff1500b-7b31-45a5-b81b-3c406495190e_20241114171411A228.jpg,,2024-12-17 21:48:03,OP203406,,3,0.0,,"{""other"": [], ""safety"": [], ""sample"": []}","{""sample"":[],""safety"":[],""other"":[]}",,,“图南”普智一体算力调度平台,0.00,"<p style=""text-indent: 22pt; text-align: left;""><span style=""color: rgb(0, 0, 0); font-family: 宋体;"">1.通过平台，提供云、网、数、智、安等多要素融合性服务能力，实现从算力注册、纳管、交易、编排、调度及监管等环节的全流程闭环服务体系，为用户提供一键入云、跨域部署等服务体验。</span></p><p style=""text-indent: 22pt; text-align: left;""><span style=""color: rgb(0, 0, 0); font-family: 宋体;"">2.通过平台，依据用户需求，匹配最符合用户需求的资源，各方用户不再关注资源的安全、运维等工作，精细化控制资源和用户的使用，实现降本增效</span></p>",DATA_REPORT,,SCIENTIFIC_INNOVATION,620000,,,,,中电万维信息技术有限责任公司,0%,,2024-12-18 08:59:59,ON_SHELF,2024-12-18 08:59:59,,U24102209273438906,,
,,,"{""apiUrl"":"""",""remarks"":"""",""requestFields"":[{""description"":"""",""example"":"""",""field"":""""}],""requestMethod"":""GET"",""responseFields"":[{""description"":"""",""example"":"""",""field"":""""}]}",通过大数据、人工智能与可视化等技术实现对全球范围内IPv4和IPv6地址的地理、网络、通联、漏洞、风险等七大属性解析。,2024-10-23 09:22:47,,620100,,APPROVED,2,IP归属地-离线库是将网络空间地图测绘技术与人工智能(AI）算法相结合，利用动态密度聚类算法和基于多层神经网络的IP地址定位算法，完成IP地址地理位置定位。IPv4归属地离线库是IP地址定位数据的离线数据包，分为街道级、区县级、城市级共3个版本类型，能够满足客户不同定位精度的需求。,郑州埃文科技有限公司,,2024-10-23 09:22:42,,,,,PD24102309224184704,INFORMATION_TRANSMISSION_SOFTWARE_IT_SERVICES,False,http://img.gsdep.cn/default-bucket/2024/10/23/e8c5979f-0cf3-4d86-b9b9-d00d6f76fa9e_20241023092101A030.png,,2024-10-23 09:22:57,OP203406,,2,0.01,"12年数据积累，全球全量数据，每日更新。
覆盖范围
定位覆盖全球全量数据，含所有网络设备如PC机、手机等
个性化定制
可选单区域和多区域两种区域，支持TXT格式和AWDB两种格式，同时可根据用户需求实现字段定制，并提供日、周、月、季度等数据更新定制服务。
支持语言
中文和英文","{""other"": [], ""safety"": [], ""sample"": [], ""example"": []}","{""sample"":[],""safety"":[],""example"":[],""other"":[]}",,,IP归属地,0.01,<p>43亿全量IPv4，城市级别</p><p>2^128全量IPv6，城市级别</p><p> IP历史位置聚类，去除无效范围</p><p>含运营商数据</p><p>每日更新</p>,DATASET,2026-10-31 00:00:00,SCIENTIFIC_INNOVATION,620000,,,UAS24102309201828301,,郑州埃文科技有限公司,0%,,2024-10-23 09:23:06,ON_SHELF,2024-10-23 09:23:06,,U24102308535869602,,
,,,,,2024-12-27 11:47:37,,620100,,APPROVED,1,全生命周期项目管理系统集项目管理、资源调配、风险控制、决策支持等功能于一体，覆盖项目规划、启动、执行、监控、收尾全阶段，确保项目高效、有序地推进。,中电万维信息技术有限责任公司兰州分公司,,2024-12-27 11:47:35,,,,,PD24122711473484102,SCIENCE,False,https://img.gsdep.cn/default-bucket/2024/12/27/712acef9-9c8d-4243-bf85-65cd7f2d00d5_20241227114621A040.jpg,,2024-12-30 10:46:38,OP203406,,0,0.0,,"{""registrationProof"": [{""name"": ""产品开发自证说明 甘交所.pdf"", ""url"": ""https://img.gsdep.cn/default-bucket/2024/12/27/28200939-db18-4969-8f46-82c67efd87be_20241227114730A041.pdf""}], ""other"": [], ""safety"": [], ""registrationCertificate"": [], ""sample"": []}","{""sample"":[],""safety"":[],""other"":[],""registrationProof"":[{""name"":""产品开发自证说明 甘交所.pdf"",""url"":""https://img.gsdep.cn/default-bucket/2024/12/27/28200939-db18-4969-8f46-82c67efd87be_20241227114730A041.pdf""}],""registrationCertificate"":[]}",,,全生命周期项目管理系统,0.00,<p>1.项目管理：系统提供项目计划制定、任务分配、进度跟踪等功能，确保项目按照既定目标顺利推进。</p><p>2.资源调配：系统能够监控和管理项目所需的资源，包括人力、物资、财务等，优化资源使用效率。</p><p>3.风险控制：通过风险识别、评估和缓解策略，系统帮助项目团队及时应对可能出现的风险，减少项目失败的可能性。</p><p>4.决策支持：系统收集并分析项目数据，为项目管理层提供决策依据，帮助做出更加合理和有效的决策。</p><p>5.覆盖全阶段：从项目的规划、启动、执行、监控到收尾，系统提供全程支持，确保项目的每个阶段都能得到有效管理。</p><p>6确保高效有序：通过规范化的流程和自动化工具，系统能够提高项目管理效率，降低人为错误，确保项目按照计划高效、有序地推进。</p>,DATA_REPORT,2034-12-31 00:00:00,URBAN_GOVERNANCE,620000,,,,,中电万维信息技术有限责任公司兰州分公司,0%,,2024-12-30 17:23:48,ON_SHELF,2024-12-30 17:23:48,,U24122310133945104,,
,,,,,2024-12-27 11:50:09,,620100,,APPROVED,1,"学生入学报名系统遵循“同一平台、不同入口、分级权限、共享数据”理念,从入学环节开始通过信息化手段方便学生和家长报名,对学生基础信息进行录入、分类和管理。协助学校,教育局统计学生信息,同时满足政策信息发布等需求",中电万维信息技术有限责任公司兰州分公司,,2024-12-27 11:50:07,,,,,PD24122711500711403,SCIENCE,False,https://img.gsdep.cn/default-bucket/2024/12/27/c2cba8cd-594c-4e7a-9a17-f27e0fc9cb63_20241227114901A043.jpg,,2024-12-30 10:46:34,OP203406,,0,0.0,,"{""registrationProof"": [{""name"": ""产品开发自证说明 甘交所.pdf"", ""url"": ""https://img.gsdep.cn/default-bucket/2024/12/27/a51156be-a682-45c7-86f6-d2c9c4bc6732_20241227115003A044.pdf""}], ""other"": [], ""safety"": [], ""registrationCertificate"": [], ""sample"": []}","{""sample"":[],""safety"":[],""other"":[],""registrationProof"":[{""name"":""产品开发自证说明 甘交所.pdf"",""url"":""https://img.gsdep.cn/default-bucket/2024/12/27/a51156be-a682-45c7-86f6-d2c9c4bc6732_20241227115003A044.pdf""}],""registrationCertificate"":[]}",,,学生入学报名系统,0.00,"<p>1.基础数据维护:包括家长须知、招生年龄段、报名时间段、分配学校管理员、招生人数等信息的维护。</p><p>2.生源等级划分:根据基础数据中学校和生源所在地划分的片区,在同一片区内再按有无户口、有无自购房、户口登记时间、购房时间、租房时间等条件划分等级。</p><p>3.学生信息录入:家长按学生实际情况及录取要求选择或填写基本信息,核对无误保存,打印户籍学生信息表。</p><p>4.生源审核录取:学校查看本学校的报名情况,通知学生携带材料进行现场审核,教育局按当年的招生计划人数1810.01进行录取,超过招生计划的统一调配。</p><p>5.报名服务流程:报名过程采用网上信息预审,现场资料核对的方式进行,针对家长及学校、教育局在各环节具体步骤,提供详细操作说明。</p><p>6统计与分析:对平台的数据资源从多个维度进行统计分析,形成各类报表供教育局和学校分析使用,为下一年的招生计划设置提供数据参考。</p><p><br></p>",DATA_REPORT,2034-12-31 00:00:00,SCIENTIFIC_INNOVATION,620000,,,,,中电万维信息技术有限责任公司兰州分公司,0%,,2024-12-30 17:23:49,ON_SHELF,2024-12-30 17:23:49,,U24122310133945104,,
,,,,,2024-12-27 11:38:26,,620100,,APPROVED,1,"园区管理系统建立智能化的管理平台,整合内部资源,提高企业内人、事,物及其他资源的管理,打破数据壁垒,融合各节点,构建一套适应现代化管理的综合信息平台。",中电万维信息技术有限责任公司兰州分公司,,2024-12-27 11:38:23,,,,,PD24122711382304203,SCIENCE,False,https://img.gsdep.cn/default-bucket/2024/12/27/419f76c7-9cf9-454e-ac85-c36df69cae9d_20241227113615A038.jpg,,2024-12-30 10:46:41,OP203406,,0,0.0,,"{""registrationProof"": [{""name"": ""产品开发自证说明 甘交所.pdf"", ""url"": ""https://img.gsdep.cn/default-bucket/2024/12/27/e2953494-fa0e-42ce-9e5d-473c3ff17ea9_20241227113818A039.pdf""}], ""other"": [], ""safety"": [], ""registrationCertificate"": [], ""sample"": []}","{""sample"":[],""safety"":[],""other"":[],""registrationProof"":[{""name"":""产品开发自证说明 甘交所.pdf"",""url"":""https://img.gsdep.cn/default-bucket/2024/12/27/e2953494-fa0e-42ce-9e5d-473c3ff17ea9_20241227113818A039.pdf""}],""registrationCertificate"":[]}",,,园区管理系统,0.00,"<p>1.数据管理与决策支持:集成多种传感器和物联网设备,实时采集园区内各类资源、设施和环境的数据。利用大数据可视化技术,将复杂的园区运营数据转化为直观的图表和图像,为管理者提供科学的决策支持。</p><p>2.安全防控与应总响应:自动识别异常行为并触发报警,迅速启动应急响应机制,通过集成通信、调度和指挥功能,为应急保障提供全面的信息支持和决策辅助。</p><p>4.资源优化与节能减排:提供节能建议和优化方案。实现能源的自动调控和优化分配,降低园区的能源消耗和运营成本,推动园区的绿色发展。</p><p>3.便捷服务与高效运营:整合智慧停车、智能门禁等服务,提高人员和车辆出入效率,便捷生活和工作服务。智慧办公与协同发展:提供高效的协同工作平台,通过信息共享、资源整合和协同创新等方式,提高园区办公效率和协作能力。</p>",DATA_REPORT,2034-12-31 00:00:00,URBAN_GOVERNANCE,620000,,,,,中电万维信息技术有限责任公司兰州分公司,0%,,2024-12-30 17:23:46,ON_SHELF,2024-12-30 17:23:46,,U24122310133945104,,
,,,"{""apiUrl"":""http://172.19.68.53:8888/api/saas/gateway/test/api.zqlinx.com/get"",""emails"":[""""],""headerFields"":[{""description"":"""",""example"":"""",""field"":""""}],""remarks"":"""",""requestFields"":[{""description"":"""",""example"":"""",""field"":""""}],""requestMethod"":""GET"",""responseFields"":[{""description"":"""",""example"":"""",""field"":""""}]}",政务单位内容错敏校对、企业文字审核纠错,2024-11-28 18:26:46,,620100,,APPROVED,1,"”中启联信-信速察智检分析和内容管理平台“是抖音赋能视频图片文本合规校对平台，该平台是一个集全面的内容校对、多维的统计分析、易用的检测报告、智能的内容预警于一体的自动信息化平台，是将互联网信息采集、数据挖掘和大数据处理技术应用到内容校对服务的一次颠覆性创新。
",中启联信科技集团有限公司,,2024-11-28 18:08:50,,,,,PD24112818084988108,INFORMATION_TRANSMISSION_SOFTWARE_IT_SERVICES,False,https://img.gsdep.cn/default-bucket/2024/11/28/cd2df168-3a6c-4dd7-8c3a-42109ec9ab80_20241128180728A031.png,,2024-12-02 17:21:51,OP203406,,0,0.0,"内容检测全面：涵盖文字、图片、视频，多种错误类型精准识别。
巡检范围广泛：网站及多家新媒体平台实时巡检。
技术能力强大：实时监测，视频解析及识别准确率高。
定制服务个性：支持自定义词库。
功能操作便捷：多实用功能，操作简单。
数据分析可视：直观呈现数据，满足多样需求。
文本检测精准：有效避免内容出错。
图片检测智能：多种图片类型识别，高拦截率。
视频检测高效：逐帧分析，音频识别准确率高。
发布管理高效：多平台发布，审核严格，功能丰富","{""other"": [], ""safety"": [{""name"": ""产品安全承诺书.pdf"", ""url"": ""https://img.gsdep.cn/default-bucket/2024/11/28/d9aca36e-a1dc-416c-8e44-2c35b31ad5f9_20241128182623A032.pdf""}]}","{""safety"":[{""name"":""产品安全承诺书.pdf"",""url"":""https://img.gsdep.cn/default-bucket/2024/11/28/d9aca36e-a1dc-416c-8e44-2c35b31ad5f9_20241128182623A032.pdf""}],""other"":[]}",,,中启联信-信速察智检分析和内容管理平台,0.00,<p>信速察智检是一款功能强大的视频图片文本合规校对平台，为用户提供全面、高效、智能的产品服务：<br></p><p>内容检测服务<br>多类型内容检测：支持对文字、图片、视频等多种形式的内容进行检测，涵盖了丰富的错误类型，如文字标点差错、知识性差错、内容导向风险等。<br>精准识别能力：能够准确识别涉政、暴恐、邪教、敏感等各类违规内容，确保内容的安全性和合规性。<br>持续更新迭代：检测能力不断更新，以适应不断变化的内容环境和监管要求。<br></p><p>网站巡检服务<br>全方位网站监测：对网站进行全面巡检，包括首页更新、栏目更新、全站搜索、链接检查等，确保网站内容的质量和安全。<br>实时信息抓取：能够实时抓取网站更新信息，及时发现潜在的问题。<br>问题及时预警：对发现的问题进行及时预警，帮助用户快速采取措施解决。<br></p><p>新媒体巡检服务<br>多平台覆盖：支持对微博、微信、抖音、百家号、企鹅号等多个新媒体平台的巡检，实现对用户发布内容和更新状态的全面监测。<br>高效巡查机制：利用先进的巡查监管系统，快速发现涉及敏感信息、恶意攻击、违法行为等违规内容，并返回实时监测记录。<br>风险预警与监测：对新媒体内容进行风险违规的预警和监测，帮助用户及时规避风险。<br></p><p>发布管理服务<br>多平台发布支持：支持在微信、微博、抖音等 7 大平台进行内容发布，提供矩阵账号一键群发功能，提高发布效率。<br>严格审核机制：引入三级审核机制，对发布内容进行严格把控，确保内容品质。<br>丰富的编辑功能：提供自动排版、生成长图等功能，支持实时预览发布效果，方便用户进行内容编辑和优化。<br></p><p>数据分析服务<br>可视化数据分析：以可视化的方式呈现检测量分析、检测错误分析、监测数据分类统计、账号数量统计等数据，帮助用户直观了解内容情况。<br>自定义时间跨度：用户可根据需求自定义时间跨度，进行更灵活的数据分析。<br>决策支持依据：为用户提供数据支持，帮助用户优化内容策略，做出更明智的决策。<br></p><p>自定义词库服务<br>个性化定制：用户可根据自身需求添加禁用词、敏感词、正词、错词、重点词、领导人词库等多种类型的自定义标签，实现个性化定制化文本纠错。<br>适配不同行业：能够适配不同行业的用语规则，满足不同用户的特殊需求。<br>提高检测准确性：通过自定义词库，提高文本检测的准确性和针对性。<br></p><p>转办督办服务<br>问题处理流程把控：精确把控问题处理流程，确保问题得到及时有效的解决。<br>透明化问题处理：自定义时间跨度，用户可清晰了解问题处理的进度和详情，实现透明化管理。<br>提升工作效率：帮助用户提高问题处理效率，减少因内容问题带来的风险和损失。<br></p>,API_DATA,2040-11-30 00:00:00,SCIENTIFIC_INNOVATION,620000,,,UAS24112818070937903,,中启联信科技集团有限公司,0%,,2025-03-21 17:25:57,ON_SHELF,2025-03-21 17:25:57,,U24111410095344804,,
,,,"{""apiUrl"":"""",""headerFields"":[{""description"":"""",""example"":"""",""field"":""""}],""remarks"":"""",""requestFields"":[{""description"":"""",""example"":"""",""field"":""""}],""requestMethod"":""GET"",""responseFields"":[{""description"":"""",""example"":"""",""field"":""""}]}",企业品牌管理和声誉保护、市场竞争和产品改进、客户关系管理、决策支持和战略规划、政府社情民意调查 ,2024-11-19 14:39:42,,620100,,APPROVED,1,"
 中启联信-信速察全网舆情捕捉评估系统是一款集AI , 大数据分析和文本挖掘于一体的品牌声誉管理工具，专为企业、政府 、学校 、医院等社会组织提供智能化舆情监控与管理解决方案。 ",中启联信科技集团有限公司,,2024-11-19 14:39:31,,,,,PD24111914393121002,INFORMATION_TRANSMISSION_SOFTWARE_IT_SERVICES,False,http://img.gsdep.cn/default-bucket/2024/11/19/c77d482f-ba06-4627-a16a-e82daf29e02c_20241119143429A236.jpg,,2024-11-20 16:24:45,OP203406,,0,0.0,"
 基于主流社交媒体全域数据，结合大语言模型 (LLM) 、自然语言分析 (NLP) 等AI能力加持，可助政企实现短视频舆情监测快、全、准。","{""other"": [], ""safety"": []}","{""safety"":[],""other"":[]}",,,中启联信-信速察全网舆情捕捉评估系统,0.00,"<ol><li>系统能够覆盖多渠道如社交媒体、新闻、论坛、博客等,收集不同来源舆情信息,确保获取更全面舆情数据。能够监测社交媒体、新闻站点、行业论坛等各网络平台，确保获取更全面不同类型的舆情信息。可监控文、图、视频等多样内容，提供全面舆情分析。</li><li>系统可以实时获取并及时捕捉新信息，保障用户获取最新动态。能够快速分析数据，利用自研的核心技术提取关键信息，生成报告或实时分析结果。并且可以及时发出预警，利用关键词自动报告，帮助用户及时解读并应对事件。</li><li>系统准确识别情感倾向，帮助用户了解公众态度，把握舆情发展趋势。通过OCR和ASR技术，系统识别并提取舆情信息关键词，帮助用户了解公众关注点，把握舆情核心内容和热点。确评估舆情热度和影响力，助用户了解话题关注程度和传播范围，判断事件重要性。</li></ol><p><br></p><p><br></p>",API_DATA,2030-12-31 00:00:00,SCIENTIFIC_INNOVATION,620000,,,UAS24111914335147401,,中启联信科技集团有限公司,0%,,2024-11-27 15:32:37,ON_SHELF,2024-11-27 15:32:37,,U24111410095344804,,
,,,,,2024-12-17 21:43:08,,620100,,APPROVED,1,一站式智算调度服务平台定位于构建“算力+模型+数据”的闭环的智算服务平台，承载着模型训练推理更简单、算力获取更便捷、算力使用成本更低廉等多种用户需求，面向用户提供一站式模型服务、低成本模型服务和异构算力高效调度服务。平台涵盖AI开发全流程，包含数据集、模型管理、微调训练、部署推理、本地知识库、发布行业应用等闭环功能，预置批量大模型，实现高效用户定位与定制化内容推荐，利用大规模预训练模型加速业务创新与应用部署；通过构建算力调度引擎，跨集群异地算力调度，实现多地域、多集群间计算资源的智能调度与优化配置，支持按照用户需求进行算力融合调度，全面推动AI技术的创新与应用。,中电万维信息技术有限责任公司,,2024-11-14 17:13:43,,,,,PD24111417134344207,TELECOM,False,http://img.gsdep.cn/default-bucket/2024/11/14/544657f8-22c2-4867-a97b-fdf1c42ac2d1_20241114171245A227.jpg,,2024-12-17 21:43:31,OP203406,,0,0.0,,"{""other"": [], ""safety"": [], ""sample"": []}","{""sample"":[],""safety"":[],""other"":[]}",,,“息壤”一站式智算调度服务平台,0.00,"<p style=""text-align: justify;""><span style=""color: rgb(0, 0, 0); font-family: 宋体;"">1、建成一站式智算调度服务平台，涵盖AI开发全流程，包含数据集、模型管理、微调训练、部署推理、本地知识库发布行业应用等闭环功能，通过标准API接口快速接入业务应用；</span></p><p style=""text-align: justify;""><span style=""color: rgb(0, 0, 0); font-family: 宋体;"">2、实现优质开源数据和精准模型索引，支持按照用户需求选择最优资源；建成异构算力高效调度引擎，具备单任务多种卡单任务单卡等灵活的调度策略，提供最符合用户需求的调度服务，按需计费，提供国产 + 英伟达 等主流算力，提升算力资源利用率超过20%；</span></p><p style=""text-align: justify;""><span style=""color: rgb(0, 0, 0); font-family: 宋体;"">3、创新研发国产化异构智算模组，可兼容目前主流的国产GPU，形成智算算力国产化替代方案；自研GPU加速卡应用软硬一体的创新技术，提供服务器节点间4*100G高速互联通道，提升存储iops 3倍以上。</span></p>",DATA_REPORT,,SCIENTIFIC_INNOVATION,620000,,,,,中电万维信息技术有限责任公司,0%,,2024-12-17 21:43:37,ON_SHELF,2024-12-17 21:43:37,,U24102209273438906,,
,,,,,2024-11-14 14:43:54,,620100,,APPROVED,1,水务云是以 SaaS 服务方式提供云网端数智一体化服务，旨在帮助市(县)水务局、水利局、水务集团、水厂解决监管缺数据、决策缺支持、管理缺手段等问题，实现智慧河湖、水利工程、水资源、饮水安全、水旱灾害、水土保持精细监管，提升精准监管、精准治理、智慧统筹、智慧管理能力。,中电万维信息技术有限责任公司,,2024-11-14 14:43:14,,,,,PD24111414431368603,TELECOM,False,http://img.gsdep.cn/default-bucket/2024/11/14/37f28033-fa80-43cb-9ff9-4d236fa0d764_20241114144023A224.jpg,,2024-11-14 14:44:43,OP203406,,0,0.0,,"{""other"": [], ""safety"": [], ""sample"": []}","{""sample"":[],""safety"":[],""other"":[]}",,,水务云,0.00,<p>1.“数字水务”向“智慧水务”转变需求</p><p>需要汇聚海量水务数据，接入水务监测设备，构建一张监测，网络，并实现水务业务精细化管理。</p><p>2.做厚、应用轻量，提供好用实用的水务信息化服务建设</p><p>水务云服务平台，汇聚海量水利数据，实现水利业务一图总览、统筹规划、集中管理。</p><p>3.存储及传输服务，物联网监测服务</p><p>云平台提供存储及计算服务，网络专线保证了传输的通畅性，同时，可联合合作生态，为客户提供监测服务。</p><p><br></p>,DATA_REPORT,,URBAN_GOVERNANCE,620000,,,,,中电万维信息技术有限责任公司,0%,,2024-11-14 14:44:51,ON_SHELF,2024-11-14 14:44:51,,U24102209273438906,,
,,,,,2024-11-14 14:44:01,,620100,,APPROVED,1,"“5G+智慧矿山”是利用5G、A1、云计算、大数据、移动互联网等新一代信息技术,彻底改变传统采矿方式、工作方式和管理模式,实现对人、机、料、法、环、测的全方位实时监控,变“被动监督”为“主动监管”,围绕采矿过程管理,提供过程趋势预测,提高管理信息化水平,实现互联协同、智能生产、科学管理,安全采挖。",中电万维信息技术有限责任公司,,2024-11-14 14:27:03,,,,,PD24111414270263906,TELECOM,False,http://img.gsdep.cn/default-bucket/2024/11/14/429d7805-6032-4257-9e89-20d9e2bce7f1_20241114142608A217.jpg,,2024-11-14 14:44:23,OP203406,,0,0.0,,"{""other"": [], ""safety"": [], ""sample"": []}","{""sample"":[],""safety"":[],""other"":[]}",,,智慧矿山,0.00,"<p style=""text-align: start;"">1.综合故障发生率、设备寿命、维修次数等多重因素,建立预测模型,为设备检维修、更换等提供预测,能够知识共享,智能问答。</p><p style=""text-align: start;"">2.自动生成工作日报,巡检、维保智能提醒。</p><p style=""text-align: start;"">3.结合人工经验,建立设备监测模型,超出阈值自动报警。</p>",DATA_REPORT,,INDUSTRIAL_MANUFACTURING,620000,,,,,中电万维信息技术有限责任公司,0%,,2024-11-14 14:44:57,ON_SHELF,2024-11-14 14:44:57,,U24102209273438906,,
